Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
AM,R3913,-98.4261,29.5843,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),256,2016-12-31,
AM,R7489,-95.5868,30.1825,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),67,2016-12-31,
AM,R7783,-97.8306,30.4717,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),297,2016-12-31,
AM,R7813,-96.5851,33.0413,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,167,2016-12-31,
AM,R9B84,-95.6986,29.9144,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,46,2016-10-31,
AM,R9EE9,-96.7944,32.8533,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,178,2016-10-31,
AM,RC421,-96.2945,30.6466,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,88,2016-10-31,
AM,REA98,-95.3852,29.81,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,18,2016-10-31,
AM,RFAE6,-97.1323,32.2972,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,199,2016-10-31,
AM,RFFB7,-97.1041,33.221,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),199,2016-12-31,
2T,EF51,-98.4979,28.7897,University of Texas,TXHUB,,"Christine, TX",98.3,2018-12-17,
2T,EF52,-98.20175,28.84362,University of Texas,TXHUB,,"Cambellton, TX",115,2019-04-26,
2T,EF53,-97.8044,29.0551,University of Texas,TXHUB,,"Gillett, TX",98.1,2018-12-20,
2T,EF54,-97.6301,29.1577,University of Texas,TXHUB,,"Nixon, TX",122.4,2018-11-15,
2T,EF55,-97.4153,29.2628,University of Texas,TXHUB,,"Cheapside, TX",112.6,2019-04-18,
2T,EF56,-97.1894,29.5828,University of Texas,TXHUB,,Moulton,127.8,2018-09-26,
2T,EF58,-98.723,28.8365,University of Texas,TXHUB,,"Charlotte, TX",137,2018-11-16,
2T,EF59,-98.4191,28.9501,University of Texas,TXHUB,,"Coughran, TX",98.1,2018-11-08,
2T,EF61,-97.9834,29.1253,University of Texas,TXHUB,,"Poth, TX",97.1,2018-12-20,
2T,EF62,-97.685,29.3651,University of Texas,TXHUB,,"Nixon, TX",98.8,2018-12-18,
2T,EF63,-97.4637,29.5756,University of Texas,TXHUB,,"Gonzales, TX",121.3,2018-12-17,
2T,EF64,-97.3128,29.7397,University of Texas,TXHUB,,"Waelder, TX",130.89,2018-12-17,
2T,EF65,-96.9805,29.6716,University of Texas,TXHUB,,"Schulenburg, TX",71.5,2018-12-18,
2T,EF66,-97.1239,29.351,University of Texas,TXHUB,,"Yoakum, TX",82.3,2018-12-18,
2T,EF67,-97.3682,29.1298,University of Texas,TXHUB,,"Cuero, TX",54.1,2018-12-20,
2T,EF68,-97.9839,28.7685,University of Texas,TXHUB,,"Kenedy, TX",141,2018-12-18,
2T,EF69,-98.2802,28.6338,University of Texas,TXHUB,,"Whitsett, TX",59.3,2018-12-18,
2T,EF71,-98.0439,28.6281,University of Texas,TXHUB,,"Pawnee, TX",94.9,2018-12-18,
2T,EF72,-97.59197,28.86009,University of Texas,TXHUB,,"Nordheim, TX",110,2018-12-19,
2T,EF73,-97.8966,28.9826,University of Texas,TXHUB,,"North Karnes, TX",90.4,2018-11-08,
2T,EF74,-98.4242,28.4376,University of Texas,TXHUB,,"Calliham, TX",95.2,2018-12-17,
2T,EF75,-97.832,28.6933,University of Texas,TXHUB,,"Tulsita, TX",113.4,2018-12-19,
2T,EF76,-98.1947,28.5203,University of Texas,TXHUB,,"Three Rivers, TX",48,2019-04-19,
4T,NM01,-103.39849,32.35514,,TXNET,,"Eunice, NM",1038,2018-05-24,
4T,NM02,-103.879,32.2641,,TXNET,,"Loving, NM",1045.4,2018-07-19,
4T,NM03,-103.63428,32.472544,,TXNET,,"Eunice, NM",1145,2018-07-19,
AG,WLAR,-93.112,33.688,Arkansas Seismic Network,TXHUB,,White Oak Lake,77,2010-02-22,
OK,ELIS,-99.418045,36.065254,,,,,641,2016-04-06,
OK,FNO,-97.401154,35.257381,,,,,360,2011-09-15,
OK,LOOK,-97.179993,33.992428,,,,,286,2015-05-01,
OK,W35A,-96.874527,35.15274,,,,,322,2012-02-14,
OK,X34A,-97.832558,34.601021,,,,,364,2011-10-12,
OK,X37A,-95.3713,34.589199,,,,,207,2012-02-23,
N4,441B,-93.189796,30.7498,,,,,33,2014-01-14,
N4,545B,-90.489403,30.0441,,,,,8,2014-01-20,
N4,735B,-97.808197,28.855301,,,,,109,2014-02-26,
N4,ABTX,-99.643097,32.623798,,,,,502,2018-08-14,
N4,MSTX,-102.7724,33.969601,,,,,1167,2018-08-14,
N4,WHTX,-97.4561,31.991301,,,,,190,2018-08-14,
N4,Z35B,-97.252998,33.330898,,,,,234,2014-02-09,
N4,Z38B,-94.985199,33.259899,,,,,115,2014-02-11,
IM,TX01,-103.6677,29.334,,,,,996.7999878,1995-04-02,
IM,TX02,-103.658,29.3299,,,,,965.2999878,1995-03-28,
IM,TX03,-103.6743,29.3314,,,,,996.5,1972-01-02,
IM,TX04,-103.6673,29.3399,,,,,997.2000122,1995-03-28,
IM,TX06,-103.682,29.319,,,,,939.5,1995-03-28,
IM,TX07,-103.689,29.3404,,,,,1069.699951,1995-03-28,
IM,TX08,-103.6769,29.3509,,,,,1044.5,1995-03-28,
IM,TX09,-103.6602,29.3437,,,,,988.2999878,1995-03-28,
IM,TX10,-103.7035,29.3305,,,,,1034.099976,1995-03-28,
IM,TX31,-103.6677,29.3343,,,,,991.4000244,1998-10-29,
IM,TX32,-103.6677,29.334,,,,,995.5,2000-12-13,
4O,LWM1,-103.63,31.2312,,,,"North of Verhalen, TX",826.8,2019-07-26,
4O,LWM2,-103.5847,31.2699,,,,Southwest of Pecos,810.6,2019-07-26,
4O,PR01,-103.270332,31.2365,Schlumberger Network,TXHUB,,P06,826,2020-02-26,
ZW,IFS3,-96.9211,32.8312,,,,,150,2015-01-07,
ZW,ILCC,-96.9472,32.861,,,,,158,2015-02-19,
ZW,IPD1,-96.9333,32.889,,,,,128,2015-01-16,
ZW,IPD1V,-96.9334,32.8888,,,,,148,2017-01-24,
ZW,ITL1,-96.899,32.8489,,,,,230,2015-01-06,
ZW,ITSC,-96.8498,32.8903,,,,,158,2015-01-10,
4F,V2600,-97.0995,32.5095,,,,,177,2015-05-09,
4F,VALP,-97.1425,32.5202,,,,,195,2017-03-09,
4F,VBB1,-97.2331,32.452,,,,,238,2015-05-09,
4F,VMCM,-97.0809,32.4579,,,,,177,2015-05-09,
4F,VNLC,-97.2036,32.5759,,,,,206,2015-05-09,
4F,VSAB,-97.2303,32.4963,,,,,210,2015-05-09,
4F,VVFD,-97.1031,32.4325,,,,,208,2015-05-09,
NQ,AZEP,-97.535378,32.963421,,,,,224,2014-01-07,
NQ,AZNH,-97.590424,32.989052,,,,,273,2013-12-23,
NQ,BRRD,-97.537849,32.99485,,,,,223,2013-12-20,
NQ,UDKH,-96.916786,32.846939,,,,,145,1988-12-31,
NQ,VAVE,-97.144112,32.519421,,,,,188,2016-09-22,
NQ,VTAX,-97.143913,32.51968,,,,,203,2015-05-11,
GM,NMP01,-103.86048,32.20476,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 01,1048,2019-11-05,
GM,NMP02,-103.86139,32.08945,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 02,996,2019-11-05,
TX,OG04,-102.35986,31.92935,University of Texas,TexNet,,"Odessa, TX",805,2020-11-17,
TX,MB09,-101.82,32.3391,Texas Seismological Network,TexNet,,"Lenorah, TX",798.5,2021-01-10,
4F,VPCC,-97.155098,32.462002,,,,,200,2019-07-14,
4O,DB04,-103.1054,31.0664,Unavailable,TXHUB,,"Coyanosa,TX (1)",868,2021-02-21,
4O,DB03,-103.078,31.1162,Unavailable,TXHUB,,"Coyanosa, TX (2)",839,2021-02-21,
4O,DB02,-103.1096,31.1858,Unavailable,TXHUB,,"Coyanosa,TX (3)",820,2021-02-21,
DB,MID02,-102.1669,32.1297,Unavailable,TXHUB,,"Midland, TX",883,2020-11-16,
DB,UB01,-103.2117,31.1133,Unavailable,TXHUB,,"Coyanosa,TX",844,2020-11-16,
TX,MB10,-101.792,32.2651,University of Texas,TXHUB,,Stanton,813,2021-03-31,
TX,INDO,-100.298344,28.467247,University of Texas,TXHUB,,"El Indio, TX",721,2021-05-20,
TX,PB34,-104.037778,31.676667,Unavailable,TXHUB,,"Reeves, TX",969.3,2021-07-05,
4O,WB01,-104.060278,31.721667,Unavailable,TXHUB,,"Culberson, TX",927,2021-07-06,
TX,MB11,-101.972645,32.146839,Texas Seismological Network,TXHUB,,Midland,812,2021-10-04,
2T,EF77,-97.97107,28.24334,University of Texas,TXHUB,,"Dinero,TX",62,2021-08-18,
4T,FMR1,-98.5675,26.602778,University of Texas,TexNet,,"Starr County, TX",140,2021-10-06,
